Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
0,0,0,0,0,1,MTR28056,Cluster_6,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,111
0,0,0,0,0,1,MTR28194,Cluster_6,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,112
0,0,0,0,0,1,MTR28201,Cluster_6,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,117
0,0,0,0,0,1,MTR28206,Cluster_6,AC,Brazil,Serra_do_Divisor_Pe_da_Serra,-7.4398,-73.6594,G,113
0,0,0,0,0,1,MTR28368,Cluster_6,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,116
0,0,0,0,0,1,MTR28392,Cluster_6,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,109
0,0,0,0,0,1,MTR28393,Cluster_6,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,118
0,0,0,0,0,1,MTR28413,Cluster_6,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,114
0,0,0,0,0,1,MTR28414,Cluster_6,AC,Brazil,Serra_do_Divisor_face_Oeste,-7.5031,-73.7208,U,115
0,0,0.92,0.02,0,0.05,MTR28534,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,123
0,0,1,0,0,0,MTR28535,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,119
0,0,0.97,0,0,0.03,MTR28538,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_bode_preto,-9.005,-67.1815,P,124
0,0,0.96,0.04,0,0,MTR28563,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,122
0,0,1,0,0,0,MTR28564,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,121
0,0,0.9,0.01,0,0.09,MTR28565,Cluster_3,AM,Brazil,Boca_do_Acre_ramal_Cruzeirinho,-8.7598,-67.3089,P,120
0,0,1,0,0,0,MTR28576,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,130
0,0,1,0,0,0,MTR28577,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,128
0,0,1,0,0,0,MTR28578,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,129
0,0,1,0,0,0,MTR28579,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,127
0,0,0.21,0.77,0,0.02,MTR28680,Cluster_4,AM,Brazil,FLONA_Humaita_Igarape_Buiussu,-7.616,-62.8833,U,147
0,1,0,0,0,0,MTR33060,Cluster_2,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,35
0,1,0,0,0,0,MTR33061,Cluster_2,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,37
0,1,0,0,0,0,MTR33063,Cluster_2,BA,Brazil,Canavieiras,-15.6805,-38.9965,U,36
0,1,0,0,0,0,MTR33431,Cluster_2,BA,Brazil,PE_serra_do_Conduru,-14.4967,-39.1336,U,27
0,1,0,0,0,0,MTR34156,Cluster_2,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,41
0,1,0,0,0,0,MTR34236,Cluster_2,BA,Brazil,Barrolandia_EE_Gregorio_Bondar_CEPLAN,-16.0942,-39.2157,Y,40
